Front,Back,Example,Tag
so let's go and,"итак, давайте перейдём и",So let's go and download everything.,Discourse: Переход к новому шагу
let's go and execute,давайте перейдём и выполним,Let's go and execute it.,Discourse: Переход к новому шагу
now moving on to,теперь переходим к,Now moving on to the next level.,Discourse: Переход к новому шагу
so now let's go,"итак, теперь давайте",So now let's go and start it.,Discourse: Переход к новому шагу
let's start with the,давайте начнём с,Let's start with the first sales.,Discourse: Переход к новому шагу
as you can see,как видите,As you can see now we have the lowest score then the second lowest score until the last row.,Discourse: Демонстрация / показ примера
so as you can see,"итак, как видите",So as you can see we are now talking to our database and this is the simplest form of query in SQL.,Discourse: Демонстрация / показ примера
so for example,"итак, например",So for example for Maria she doesn't fulfill the condition because her score the 350 is not higher than 500.,Discourse: Демонстрация / показ примера
let's go and execute it,давайте выполним это,Let's go and execute it.,Discourse: Демонстрация / показ примера
so that means,"это значит, что",So that means all the visuals the presentation slides everything that I present during the course.,Discourse: Объяснение / переформулирование
so that means we,"это значит, мы",So that means we have a condition here.,Discourse: Объяснение / переформулирование
this is how,вот как,This is how they do it.,Discourse: Объяснение / переформулирование
so this is the,"итак, это",So this is the first family of commands.,Discourse: Объяснение / переформулирование
so this is how,"итак, вот как",So this is how SQL executes your order by.,Discourse: Объяснение / переформулирование
so that's it,вот и всё,So that's it and with that of course we have solved the task.,Discourse: Итог / завершение мысли
so that's why,именно поэтому,So that's why it's going to include it in the results.,Discourse: Итог / завершение мысли
those are the,это те,Those are the original customers.,Discourse: Итог / завершение мысли
we're going to,мы собираемся / сейчас будем,We're going to leave it as a database engine.,Discourse: План действия / намерение
it's going to be,это будет,It's going to be very interesting topic.,Discourse: План действия / намерение
so we're going to go,"итак, сейчас мы перейдём",So we're going to go and define the score here.,Discourse: План действия / намерение
so i'm going to,"итак, я собираюсь",So I'm going to break complex concept in SQL using hundreds of animated visuals.,Discourse: План действия / намерение
so if you go,"итак, если вы перейдёте",So if you go back to our files you can find a second SQL file the initql server sales db.sql.,Discourse: Условие
now if you check,"теперь, если вы проверите",Now if you check we have here Mary and as well over here we have Mary and same goes for given we have given over here and as well here.,Discourse: Условие
if you go and,если вы перейдёте и,If you go and run this query you will get exactly same results.,Discourse: Условие
in order to,для того чтобы,"In order to see the data right click for example of the customers and let's go with the option select top 1,000 rows.",Discourse: Цель / порядок действий
so in order to,"итак, чтобы","So in order to do that, let's go and click on install SS SMS.",Discourse: Цель / порядок действий
all right,хорошо / ладно,All right my friends I'm really excited about it.,Discourse: Обращение / неформальное вступление
all right my friends,"итак, друзья мои",All right my friends I'm really excited about it.,Discourse: Обращение / неформальное вступление
and now we have,и теперь у нас есть,And now we have to go to the option add.,Discourse: Добавление / продолжение мысли
and with that we,и с этим мы,And with that we have selected few columns from our table.,Discourse: Добавление / продолжение мысли
and of course,и конечно,"And of course if you want to go and practice using another database, it's totally fine.",Discourse: Добавление / продолжение мысли
so with that we have,"итак, с этим у нас есть",So with that we have the server we have the client.,Discourse: Добавление / продолжение мысли
like,как; нравится (в речи часто как слово-паразит),"So by the end of this course, you will be ready to solve any complex task like I do using SQL.",Vocabulary
order,в 'in order to' — для того чтобы,But my friends in return I really appreciate it if you support the channel in order to grow.,Vocabulary
use,использовать,I have industrial experience and I will be sharing with you everything that I know about SQL and how I use it in my real projects.,Vocabulary
using,используя,So I'm going to break complex concept in SQL using hundreds of animated visuals.,Vocabulary
start,начинать,Now after that we start with the intermediate phase where we're going to deep dive into topics like how to filter your data.,Vocabulary
example,пример,Now in this example each record represent one customer one person.,Vocabulary
check,проверять,"So if you check for any data related jobs, you will find that they going to ask for SQL skills.",Vocabulary
means,означает,So that means all the visuals the presentation slides everything that I present during the course.,Vocabulary
next,следующий,Now once we have everything then we can go to the next chapter.,Vocabulary
inside,внутри,So the first one is the subquery query inside another query and the very famous CTE common table expression.,Vocabulary
new,новый,How to create a new table add a new column remove column and as well how to drop a table.,Vocabulary
step,шаг,So now the next step is that we have to go and download the SQL Server Express and you can find the link as well over here.,Vocabulary
total,"итоговый, общий",Go and find the total spending in your data.,Vocabulary
last,последний,And the last project that you can do is the advanced data analytics project.,Vocabulary
find,находить,Go and find the total spending in your data.,Vocabulary
another,другой,So the first one is the subquery query inside another query and the very famous CTE common table expression.,Vocabulary
everything,всё,I have industrial experience and I will be sharing with you everything that I know about SQL and how I use it in my real projects.,Vocabulary
different,"другой, отличающийся",Why we have to learn it? what are databases and the different SQL commands that we have in SQL.,Vocabulary
understand,понимать,This makes it really easier to understand SQL and as well it is more fun than just sharing my screen and I just show you code.,Vocabulary
really,"действительно, реально",This makes it really easier to understand SQL and as well it is more fun than just sharing my screen and I just show you code.,Vocabulary
simple,простой,"Of course, they cannot go unused like simple files.",Vocabulary
create,создавать,How to create a new table add a new column remove column and as well how to drop a table.,Vocabulary
task,задача,"So by the end of this course, you will be ready to solve any complex task like I do using SQL.",Vocabulary
lot,много (a lot),So here there are a lot of techniques that you have to learn about SQL.,Vocabulary
